current ID	new ID	new Name	new category ID	new category	secondary tags
shape	shape-synth	Shape	geometric	Geometric	2D, Synthesizer
solid	solid-synth	Solid	geometric	Geometric	3D, Synthesizer
hyper	hyper-synth	Hyper	geometric	Geometric	4D, Synthesizer
moebius	moebius-synth	Möbius	wip	Geometric	Work In Progress, Synthesizer
klein-bottle	klein-bottle-synth	Klein Bottle	wip	Geometric	Work In Progress, Synthesizer
graph-synth	graph-synth	Graph Synth	geometric	Geometric	Fractal, Recursive
combo	shapes	Shapes	app	App	Geometric, Synthesizer, Sequencer, Drum Machine, Audio Effect, 2D, 3D, 4D
l-systems	l-systems	L-Systems	app	App	Fractal, Recursive; Drum Machines; Audio Effect
graphs	graphs	Graphs	app	App	Fractal, Recursive; Drum Machines; Audio Effect
tesselation-app	tesselation	Tesselation	app	App	Tesselation, Sequencer, Drum Machine
algorithmic-mazes	algorithmic-mazes	Mazes	wip	Work In Progress	
paths	paths	Paths	wip	Work In Progress	
lattice	lattice	Lattice	tesselation	Tesselation	Sequencer
spiral	spiral	Spiral	tesselation	Tesselation	Sequencer
lattice-drums	lattice-drum-machine	Lattice Drum Machine	tesselation	Tesselation	Sequencer
spiral-drums	spiral-drum-machine	Spiral Drum Machine	tesselation	Tesselation	Sequencer
shape-drums	shape-drum-machine	Shape Drum Machine	geometric	Geometric	
solid-drums	solid-drum-machine	Solid Drum Machine	geometric	Geometric	
hyper-drums	hyper-drum-machine	Hyper Drum Machine	geometric	Geometric	
l-system-drums	l-system-drum-machine	L-System Drum Machine	fractal;	Fractal	Drum Machine, Recursive
l-system	l-system	L-System	fractal	Fractal	Recursive, Sequencer
graph-drums	graph-drum-machine	Graph Drum Machine	geometric	Drum Machines	Fractal, Recursive
linear-drums-machine	rattlesnake-skin	Rattlesnake Skin	instrument	Instrument	Drum Machine
rubix	rubix	Rubix Cube Sequencer	sequencer	sequencer	Drum Machine, 3D, Puzzle
sliding-puzzle	sliding-puzzle	Sliding Puzzle	sequencer	sequencer	Drum Machines, 2D
hocket-loom	hocket-loom	Hocket Luigi	sequencer	sequencer	Drum Machines, 3D
hyper-rubix	hyper-rubix	Hyper Rubix	sequencer	sequencer	Drum Machines, 4D, Puzzle
webgpu-303	webgpu-304	WebGPU 303	gpu-audio	GPU Audio	Sequencer, Synthesizer, Acid, 303
simd-303	simd-303	SIMD 303	simd-audio	SIMD Audio	Sequencer, Synthesizer, Acid, 303
simd-synth	simd-synth	SIMD Synth	simd-audio	SIMD Audio	Synthesizer, Sequencer
webgpu-chiptune	webgpu-chiptune	WebGPU Chiptune	gpu-audio	GPU Audio	Synthesizer, Sequencer
jaw-jam	jaw-jam	Jaw Jam	sequencer	sequencer	Physical Model, Instrument, Sequencer, Synthesizer
webgpu-synths	webgpu-synths	GPU Shader Synths	gpu-audio	GPU Audio	sequencer, synthesizer
srtuss	srtuss	srtuss Master	gpu-audio	GPU Audio	sequencer, synthesizer
shader-synth-playground	shader-synth-playground	Modular Shader Synth	gpu-audio	GPU Audio	Synthesizer
throatazoid	throatazoid	Throatazoid	physical-model	Physical Model	Voice, Synthesizer
pink-trombonazoid	pink-trombonazoid	Pink Trombonazoid	physical-model	Physical Model	Voice, Sequencer, Synthesizer
throat-singing	throat-singing	Throat Singing	physical-model	Physical Model	Voice, Synthesizer
syrinx	syrinx	Syrinx	bioacoustic	Bioacoustic	Physical Model
tongued-beasts	tongued-beasts	Tongued Beasts	bioacoustic	Bioacoustic	Physical Model
hybrinx	hybrinx	Hybrinx	bioacoustic	Bioacoustic	Physical Model
creaturazoid	creaturazoid	Creaturazoid	bioacoustic	Bioacoustic	sequencer, Physical Model
quadruped	quadruped	Quadruped	bioacoustic	Bioacoustic	sequencer; Drum Machine
roach-synth	roach-synth	Roach Synth	bioacoustic	Bioacoustic	
spider-synth	spider-synth	Spider Synth	bioacoustic	Bioacoustic	
colony-syrinx	monstroid	Monstroid	physical-model	Physical Model	Voice, Synthesizer
blowhole	blowhole	Blowhole	bioacoustic	Bioacoustic	sequencer
jaw-harp	jaw-harp	Jaw Harp	physical-model	Physical Model	Instrument, Synthesizer
harmonica	harmonica	Harmonicazoid	physical-model	Physical Model	Instrument, Synthesizer
julie-saw	julie-saw	Julie Saw	physical-model	Physical Model	Instrument, Synthesizer
hiccup-head	hiccup-head	Hiccup Head	physical-model	Physical Model	Voice, Sequencer
digestazoid	digestazoid	Digestazoid	bioacoustic	Bioacoustic	
breath-atlas	breath-atlas	Mouthophones	wip	Work In Progress	
spelling-synthesizer	spelling-synthesizer	Spelling Synthesizer	wip	Work In Progress	
