"ID","Name","Current category ID","Current category","Current category order","Current instrument order","Current secondary tags","Favorite","Planned category","Planned category order","Planned instrument order","Decision","Related instruments","Notes"
"shape","Shape","geometry","Geometry Synths","1","1","","yes","","","","Review","",""
"solid","Solid","geometry","Geometry Synths","1","2","","yes","","","","Review","",""
"moebius","Möbius","geometry","Geometry Synths","1","3","Sequencers","no","","","","Review","",""
"klein-bottle","Klein Bottle","geometry","Geometry Synths","1","4","","no","","","","Review","",""
"hyper","Hyper","geometry","Geometry Synths","1","5","","yes","","","","Review","",""
"graph-synth","Graph Synth","geometry","Geometry Synths","1","6","Fractals & Recursion","yes","","","","Review","graphs",""
"combo","Shapes","apps","Apps","2","1","","no","","","","Review","",""
"l-systems","L-Systems","apps","Apps","2","2","Fractals & Recursion; Drum Machines; Mic FX","no","","","","Review","l-system; l-system-drums; micmic","Consolidation candidate, not approved deletion of older pages. Compare synth/drum/mic behavior and defaults."
"graphs","Graphs","apps","Apps","2","3","Fractals & Recursion; Drum Machines; Mic FX","no","","","","Review","graph-synth; graph-drums; graph-delay","Consolidation candidate, not approved deletion of older pages. Compare unique controls, defaults and behavior first."
"tiles-app","Tiles","apps","Apps","2","4","","no","","","","Review","",""
"algorithmic-mazes","Mazes","apps","Apps","2","5","","no","","","","Review","",""
"paths","Paths","apps","Apps","2","6","","no","","","","Review","",""
"lattice","Lattice","tiles","Tiles","3","1","","yes","","","","Review","",""
"spiral","Spiral","tiles","Tiles","3","2","","yes","","","","Review","",""
"lattice-drums","Lattice Drum Machine","tiles","Tiles","3","3","","no","","","","Review","",""
"spiral-drums","Spiral Drum Machine","tiles","Tiles","3","4","","no","","","","Review","",""
"shape-drums","Shape Drum Machine","geometry-drums","Drum Machines","4","1","","no","","","","Review","",""
"solid-drums","Solid Drum Machine","geometry-drums","Drum Machines","4","2","","no","","","","Review","",""
"hyper-drums","Hyper Drum Machine","geometry-drums","Drum Machines","4","3","","no","","","","Review","",""
"l-system-drums","L-System Drum Machine","geometry-drums","Drum Machines","4","4","Fractals & Recursion","no","","","","Review","l-systems",""
"graph-drums","Graph Drum Machine","geometry-drums","Drum Machines","4","5","Fractals & Recursion","no","","","","Review","graphs",""
"linear-drums-machine","Rattle Snake Skin","geometry-drums","Drum Machines","4","6","","no","","","","Review","",""
"rubix","Rubix Cube Sequencer","sequencers","Sequencers","5","1","","yes","","","","Review","",""
"sliding-puzzle","Sliding Puzzle","sequencers","Sequencers","5","2","","no","","","","Review","",""
"hocket-loom","Hocket Luigi","sequencers","Sequencers","5","3","Drum Machines","no","","","","Review","",""
"hyper-rubix","Hyper Rubix","sequencers","Sequencers","5","4","","yes","","","","Review","",""
"webgpu-303","WebGPU 303","sequencers","Sequencers","5","5","","no","","","","Review","",""
"simd-303","SIMD 303","sequencers","Sequencers","5","6","","no","","","","Review","",""
"simd-synth","SIMD SYNTH","sequencers","Sequencers","5","7","","no","","","","Review","",""
"webgpu-chiptune","WebGPU Chiptune","sequencers","Sequencers","5","8","","no","","","","Review","",""
"jaw-jam","Jaw Jam","sequencers","Sequencers","5","9","Voice Synths","no","","","","Review","",""
"webgpu-synths","GPU Shader Synths","sequencers","Sequencers","5","10","","no","","","","Review","",""
"srtuss","srtuss Master","sequencers","Sequencers","5","11","","no","","","","Review","",""
"shader-synth-playground","Modular Shader Synth","sequencers","Sequencers","5","12","","no","","","","Review","",""
"throatazoid","Throatazoid","voice-synths","Voice Synths","6","1","","no","","","","Retire","alien-larynx","Owner requested retirement. Preserve shared model, processor and CSS consumers; removal not implemented yet."
"pink-trombonazoid","Pink Trombonazoid","voice-synths","Voice Synths","6","2","Sequencers","no","","","","Review","",""
"throat-singing","Throat Singing","voice-synths","Voice Synths","6","3","","no","","","","Review","",""
"syrinx","Syrinx","voice-synths","Voice Synths","6","4","","no","","","","Review","",""
"tongued-beasts","Tongued Beasts","voice-synths","Voice Synths","6","5","","no","","","","Review","",""
"hybrinx","Hybrinx","voice-synths","Voice Synths","6","6","Sequencers","yes","","","","Review","",""
"creaturazoid","Creaturazoid","voice-synths","Voice Synths","6","7","Sequencers","no","","","","Review","",""
"quadruped","Quadruped","voice-synths","Voice Synths","6","8","Sequencers; Drum Machines","no","","","","Review","",""
"roach-synth","Roach Synth","voice-synths","Voice Synths","6","9","","no","","","","Review","",""
"spider-synth","Spider Synth","voice-synths","Voice Synths","6","10","","no","","","","Review","",""
"colony-syrinx","Monstrozoid","voice-synths","Voice Synths","6","11","","no","","","","Review","",""
"blowhole","Blowhole","voice-synths","Voice Synths","6","12","Sequencers","no","","","","Review","",""
"jaw-harp","Jaw Harp","voice-synths","Voice Synths","6","13","","yes","","","","Review","",""
"harmonica","Harmonicazoid","voice-synths","Voice Synths","6","14","","no","","","","Review","",""
"julie-saw","Julie Saw","voice-synths","Voice Synths","6","15","","no","","","","Review","",""
"hiccup-head","Hiccup Head","voice-synths","Voice Synths","6","16","Sequencers","yes","","","","Review","",""
"digestazoid","Digestazoid","voice-synths","Voice Synths","6","17","","no","","","","Review","",""
"breath-atlas","Mouthophones","voice-synths","Voice Synths","6","18","","no","","","","Review","",""
"spelling-synthesizer","Spelling Synthesizer","voice-synths","Voice Synths","6","19","","no","","","","Review","",""
"vocalzoid","Vocalzoid","voice-synths","Voice Synths","6","20","","no","","","","Review","",""
"lumber","Lumber Loops","mic-fx","Mic FX","7","1","","no","","","","Review","",""
"micmic","L-system Delay","mic-fx","Mic FX","7","2","Fractals & Recursion","yes","","","","Review","l-systems",""
"graph-delay","Graph Delay","mic-fx","Mic FX","7","3","","yes","","","","Review","graphs",""
"micromorph","Micromorph","mic-fx","Mic FX","7","4","","no","","","","Review","",""
"shepard-risset","Shepard–Risset","barber-shop-poles","Barber Shop Poles","8","1","","no","","","","Review","",""
"slippery-resynthesis","Slippery Resynthesis","barber-shop-poles","Barber Shop Poles","8","2","","no","","","","Review","",""
"drum-roll-please","Drum Roll Please!","barber-shop-poles","Barber Shop Poles","8","3","","no","","","","Review","",""
"ouroborousel","Ouroborousel","barber-shop-poles","Barber Shop Poles","8","4","","no","","","","Review","ourorourobouroboros","Related implementation, but musical equivalence unproven. Owner keep/combine decision needed."
