dataset_id,file_id,file_label,event_index,event_source,event_label,start_seconds,end_seconds,duration_seconds,active_seconds,active_ratio,rms_dbfs,active_rms_dbfs,peak_dbfs,crest_factor_db,activity_threshold_dbfs,macro_event_count,macro_event_rate_hz,median_macro_event_spacing_seconds,internal_modulation_onset_count,internal_modulation_rate_hz,median_internal_modulation_spacing_seconds,pulse_rate_hz,pulse_strength,periodicity_hz,periodicity_strength,periodicity_cv,spectral_peak_hz,spectral_centroid_hz,rolloff_85_hz,spectral_flatness,spectral_sharpness_q,decay_t20_seconds,decay_rt60_seconds,decay_derived_q,energy_20_80,energy_80_150,energy_150_500,energy_500_1500,energy_1500_3000,energy_3000_8000
boiling_acoustic_regimes,c6ed7bfe-7f39-4612-96e7-b3962f8b36b2,background,0,detected,background,0,1,1,1,1,-9.89949,-9.89949,0,9.89949,-14.4592,1,,,4,4.41176,0.2,1.04167,0.96472,190.503,0.273554,0.453502,119.812,281.632,484.375,0.0552747,1.53359,,,,0.280982,0.189947,0.381244,0.131295,0.0104379,
boiling_acoustic_regimes,4349cab9-1484-4a85-ad68-1b86a59af91b,background,0,detected,background,0,1,1,1,1,-9.62401,-9.62401,0,9.62401,-14.3324,1,,,5,4.49438,0.18,1.11111,0.566385,210.526,0.294837,0.419744,59.875,241.862,359.375,0.0370072,1.27733,,,,0.318417,0.141005,0.420398,0.110306,0.00578128,
boiling_acoustic_regimes,40bd48c1-e8d9-4473-ba24-b1640129b46b,background,0,detected,background,0,1,1,1,1,-11.6146,-11.6146,0,11.6146,-16.0261,1,,,5,6.34921,0.145,1.21951,0.642791,151.159,0.249078,0.39016,114.688,276.499,453.125,0.054941,1.468,,,,0.24345,0.225391,0.393933,0.120882,0.0103384,
boiling_acoustic_regimes,a66509b1-0263-416a-a9c3-8ace2a1102ac,background,0,detected,background,0.08,0.1,0.02,0.02,1,-7.8399,-7.8399,0,7.8399,-10.5038,1,,,1,,,,,,,,166.006,204.737,281.25,0.0247762,1.77073,,,,0.489431,0.0864716,0.305226,0.105825,0.00943311,
boiling_acoustic_regimes,a66509b1-0263-416a-a9c3-8ace2a1102ac,background,1,detected,background,0.14,0.22,0.08,0.08,1,-8.80405,-8.80405,0,8.80405,-13.0558,1,,,1,,,20,0.508829,262.295,0.4708,0,92.8115,211.519,375,0.0285171,2.96997,,,,0.520975,0.123407,0.24566,0.0969591,0.00899754,
boiling_acoustic_regimes,a66509b1-0263-416a-a9c3-8ace2a1102ac,background,2,detected,background,0.25,0.26,0.01,0,0,-9.32891,-240,-2.5532,6.77571,-11.2671,1,,,1,,,,,,,,122.188,354.162,734.375,0.0500023,0.601541,,,,0.132166,0.204012,0.481002,0.161205,0.0113651,
boiling_acoustic_regimes,a66509b1-0263-416a-a9c3-8ace2a1102ac,background,3,detected,background,0.32,0.38,0.06,0.06,1,-6.75952,-6.75952,0,6.75952,-10.672,1,,,1,,,,,,,,138.155,159.544,296.875,0.0155551,4.42095,,,,0.564446,0.170889,0.202353,0.0549544,0.00485532,
boiling_acoustic_regimes,a66509b1-0263-416a-a9c3-8ace2a1102ac,background,4,detected,background,0.41,0.42,0.01,0,0,-8.83732,-240,-3.14504,5.69228,-10.7755,1,,,1,,,,,,,,66.758,484.183,750,0.150135,0.534064,,,,0.182832,0.139011,0.433353,0.179132,0.0441075,
boiling_acoustic_regimes,a66509b1-0263-416a-a9c3-8ace2a1102ac,background,5,detected,background,0.45,0.46,0.01,0,0,-7.44886,-240,0,7.44886,-9.38706,1,,,1,,,,,,,,106.838,274.768,500,0.0407683,0.759735,,,,0.238101,0.3085,0.300856,0.137411,0.00949798,
boiling_acoustic_regimes,a66509b1-0263-416a-a9c3-8ace2a1102ac,background,6,detected,background,0.49,0.5,0.01,0,0,-9.03643,-240,-0.0657042,8.97073,-10.9746,1,,,1,,,,,,,,200.266,434.887,859.375,0.0716995,0.985926,,,,0.0750486,0.150255,0.536402,0.195269,0.0332474,
