dataset_id,file_id,label,path,source_url,doi,license,license_url,selection_start_seconds,selection_end_seconds,source_sample_rate,source_channels,duration_seconds,active_seconds,active_ratio,rms_dbfs,active_rms_dbfs,peak_dbfs,crest_factor_db,activity_threshold_dbfs,macro_event_count,macro_event_rate_hz,median_macro_event_spacing_seconds,internal_modulation_onset_count,internal_modulation_rate_hz,median_internal_modulation_spacing_seconds,pulse_rate_hz,pulse_strength,periodicity_hz,periodicity_strength,periodicity_cv,spectral_peak_hz,spectral_centroid_hz,rolloff_85_hz,spectral_flatness,spectral_sharpness_q,decay_t20_seconds,decay_rt60_seconds,decay_derived_q,energy_20_80,energy_80_150,energy_150_500,energy_500_1500,energy_1500_3000,energy_3000_8000
boiling_acoustic_regimes,c6ed7bfe-7f39-4612-96e7-b3962f8b36b2,background,research/data/digestazoid/boiling/background/background_2w_0001.wav,https://data.mendeley.com/public-files/datasets/vnnzc7n97m/files/c6ed7bfe-7f39-4612-96e7-b3962f8b36b2/file_downloaded,10.17632/vnnzc7n97m.1,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,0,1,10000,1,1,1,1,-9.89949,-9.89949,0,9.89949,-14.4592,1,,,4,4.41176,0.2,1.04167,0.96472,190.503,0.273554,0.453502,119.812,281.632,484.375,0.0552747,1.53359,,,,0.280982,0.189947,0.381244,0.131295,0.0104379,
boiling_acoustic_regimes,4349cab9-1484-4a85-ad68-1b86a59af91b,background,research/data/digestazoid/boiling/background/background_2w_0175.wav,https://data.mendeley.com/public-files/datasets/vnnzc7n97m/files/4349cab9-1484-4a85-ad68-1b86a59af91b/file_downloaded,10.17632/vnnzc7n97m.1,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,0,1,10000,1,1,1,1,-9.62401,-9.62401,0,9.62401,-14.3324,1,,,5,4.49438,0.18,1.11111,0.566385,210.526,0.294837,0.419744,59.875,241.862,359.375,0.0370072,1.27733,,,,0.318417,0.141005,0.420398,0.110306,0.00578128,
boiling_acoustic_regimes,40bd48c1-e8d9-4473-ba24-b1640129b46b,background,research/data/digestazoid/boiling/background/background_2w_0351.wav,https://data.mendeley.com/public-files/datasets/vnnzc7n97m/files/40bd48c1-e8d9-4473-ba24-b1640129b46b/file_downloaded,10.17632/vnnzc7n97m.1,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,0,1,10000,1,1,1,1,-11.6146,-11.6146,0,11.6146,-16.0261,1,,,5,6.34921,0.145,1.21951,0.642791,151.159,0.249078,0.39016,114.688,276.499,453.125,0.054941,1.468,,,,0.24345,0.225391,0.393933,0.120882,0.0103384,
boiling_acoustic_regimes,a66509b1-0263-416a-a9c3-8ace2a1102ac,background,research/data/digestazoid/boiling/background/background_5w_0001.wav,https://data.mendeley.com/public-files/datasets/vnnzc7n97m/files/a66509b1-0263-416a-a9c3-8ace2a1102ac/file_downloaded,10.17632/vnnzc7n97m.1,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,0,1,10000,1,1,0.13,0.13,-9.93359,-7.47802,0,9.93359,-7.54026,10,9.89011,0.07,10,9.89011,0.07,1.04167,0.719393,262.295,0.553862,0.053062,106.239,195.991,343.75,0.0261689,0.971327,,,,0.481661,0.14011,0.282816,0.0863568,0.00609269,
boiling_acoustic_regimes,ae2fcf25-d102-4162-a34e-aa32f279ba7a,background,research/data/digestazoid/boiling/background/background_5w_0325.wav,https://data.mendeley.com/public-files/datasets/vnnzc7n97m/files/ae2fcf25-d102-4162-a34e-aa32f279ba7a/file_downloaded,10.17632/vnnzc7n97m.1,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,0,1,10000,1,1,0.23,0.23,-10.2265,-7.47801,0,10.2265,-7.31425,6,5.31915,0.17,10,9.57447,0.09,1.07527,0.954503,246.154,0.574621,0.0780058,97.2607,208.565,343.75,0.050207,0.691632,,,,0.564904,0.108419,0.211024,0.0985705,0.0110508,
boiling_acoustic_regimes,f4ef0b46-9135-4002-a90b-2f32b5d36e84,background,research/data/digestazoid/boiling/background/background_5w_0649.wav,https://data.mendeley.com/public-files/datasets/vnnzc7n97m/files/f4ef0b46-9135-4002-a90b-2f32b5d36e84/file_downloaded,10.17632/vnnzc7n97m.1,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,0,1,10000,1,1,1,1,-11.4001,-11.4001,0,11.4001,-15.614,1,,,4,3.22581,0.38,1.05263,0.836596,214.775,0.287011,0.289891,195.992,317.134,609.375,0.0592892,2.5087,,,,0.234453,0.127905,0.430543,0.190501,0.0100278,
boiling_acoustic_regimes,022c053a-09f9-4c91-b3d1-4af1cc83f5a5,nucleate,research/data/digestazoid/boiling/nucleate/nucleate_106w_0001.wav,https://data.mendeley.com/public-files/datasets/vnnzc7n97m/files/022c053a-09f9-4c91-b3d1-4af1cc83f5a5/file_downloaded,10.17632/vnnzc7n97m.1,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,0,1,10000,1,1,0.11,0.11,-11.04,-8.12507,0,11.04,-8.54751,10,9.18367,0.11,11,10.2041,0.095,1.11111,0.727563,285.714,0.607036,0.409244,194.534,201.972,312.5,0.000219081,4.15007,,,,0.289435,0.0400825,0.622232,0.0481826,0.000065716,
boiling_acoustic_regimes,44719da2-fb66-420e-8e70-c6e0ecf32633,nucleate,research/data/digestazoid/boiling/nucleate/nucleate_106w_0250.wav,https://data.mendeley.com/public-files/datasets/vnnzc7n97m/files/44719da2-fb66-420e-8e70-c6e0ecf32633/file_downloaded,10.17632/vnnzc7n97m.1,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,0,1,10000,1,1,1,1,-10.8511,-10.8511,0,10.8511,-15.0873,1,,,5,6.89655,0.14,1.19048,0.829895,285.714,0.419342,0.286526,312.372,253.952,359.375,0.000408541,1.66598,,,,0.158284,0.0469388,0.718394,0.0763109,0.00006477,
boiling_acoustic_regimes,4c414473-b116-46c6-a960-4a992975f554,nucleate,research/data/digestazoid/boiling/nucleate/nucleate_106w_0500.wav,https://data.mendeley.com/public-files/datasets/vnnzc7n97m/files/4c414473-b116-46c6-a960-4a992975f554/file_downloaded,10.17632/vnnzc7n97m.1,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,0,1,10000,1,1,0.12,0.12,-10.3923,-7.29319,0,10.3923,-7.8452,9,8.42105,0.125,11,10.5263,0.095,1.04167,0.879553,275.862,0.528858,0.202222,265.052,211.026,328.125,0.000311394,4.24084,,,,0.284099,0.0254183,0.644534,0.0458703,0.000071735,
boiling_acoustic_regimes,683a7a4d-eb3c-46af-858e-ebbfe3b7619f,nucleate,research/data/digestazoid/boiling/nucleate/nucleate_106w_0750.wav,https://data.mendeley.com/public-files/datasets/vnnzc7n97m/files/683a7a4d-eb3c-46af-858e-ebbfe3b7619f/file_downloaded,10.17632/vnnzc7n97m.1,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,0,1,10000,1,1,1,1,-10.2593,-10.2593,0,10.2593,-15.2066,1,,,5,4.54545,0.21,1.23457,0.353675,264.481,0.402413,0.273639,208.084,235.136,343.75,0.000241112,1.10978,,,,0.170121,0.0560281,0.726469,0.0473518,0.000025922,
